,Género,Nivel,Tipo de test,Valor
495,Femenino,Inicial,Pretest,76.59035033804548
496,Femenino,Inicial,Pretest,76.55961893054702
497,Femenino,Inicial,Pretest,76.55961893054702
498,Femenino,Inicial,Pretest,76.55961893054702
499,Masculino,Inicial,Pretest,76.39059618930547
500,Masculino,Inicial,Pretest,76.39059618930547
501,Femenino,Avanzado,Pretest,76.39059618930547
502,Masculino,Inicial,Pretest,76.22157344806392
503,Masculino,Inicial,Pretest,76.1140135218193
504,Masculino,Inicial,Pretest,76.10633066994468
505,Femenino,Inicial,Pretest,76.10633066994468
506,Femenino,Inicial,Pretest,76.10633066994468
507,Femenino,Inicial,Pretest,76.08328211432084
508,Femenino,Inicial,Pretest,76.0141364474493
509,Masculino,Inicial,Pretest,75.93730792870312
510,Masculino,Avanzado,Pretest,75.89121081745544
511,Masculino,Inicial,Pretest,75.89121081745544
512,Masculino,Inicial,Pretest,75.89121081745544
513,Masculino,Inicial,Pretest,75.89121081745544
514,Femenino,Inicial,Pretest,75.89121081745544
515,Femenino,Inicial,Pretest,75.88352796558084
516,Masculino,Inicial,Pretest,75.8681622618316
517,Masculino,Inicial,Pretest,75.8681622618316
518,Femenino,Avanzado,Pretest,75.8681622618316
519,Masculino,Inicial,Pretest,75.8681622618316
520,Masculino,Inicial,Pretest,75.74523663183774
521,Masculino,Inicial,Pretest,75.71450522433926
522,Masculino,Inicial,Pretest,75.71450522433926
523,Masculino,Inicial,Pretest,75.65304240934235
524,Masculino,Inicial,Pretest,75.59926244622004
525,Masculino,Inicial,Pretest,75.59926244622004
526,Masculino,Inicial,Pretest,75.59926244622004
527,Femenino,Inicial,Pretest,75.5377996312231
528,Masculino,Inicial,Pretest,75.5377996312231
529,Masculino,Inicial,Pretest,75.50706822372464
530,Masculino,Avanzado,Pretest,75.46097111247695
531,Masculino,Inicial,Pretest,75.43023970497849
532,Femenino,Avanzado,Pretest,75.43023970497849
533,Masculino,Inicial,Pretest,75.40719114935463
534,Femenino,Inicial,Pretest,75.25353411186232
535,Masculino,Inicial,Pretest,75.23816840811308
536,Femenino,Inicial,Pretest,75.23816840811308
537,Masculino,Inicial,Pretest,75.23816840811308
538,Femenino,Inicial,Pretest,75.16902274124155
539,Masculino,Inicial,Pretest,75.14597418561769
540,Masculino,Avanzado,Pretest,75.14597418561769
541,Femenino,Inicial,Pretest,74.99999999999999
542,Masculino,Inicial,Pretest,74.99999999999999
543,Masculino,Inicial,Pretest,74.99999999999999
544,Femenino,Inicial,Pretest,74.99999999999999
545,Masculino,Inicial,Pretest,74.99999999999999
546,Femenino,Inicial,Pretest,74.99999999999999
547,Masculino,Inicial,Pretest,74.99999999999999
548,Femenino,Inicial,Pretest,74.99999999999999
549,Masculino,Avanzado,Pretest,74.99999999999999
550,Femenino,Inicial,Pretest,74.99999999999999
551,Masculino,Inicial,Pretest,74.99999999999999
552,Femenino,Inicial,Pretest,74.99999999999999
553,Femenino,Inicial,Pretest,74.99999999999999
554,Masculino,Inicial,Pretest,74.99999999999999
555,Femenino,Inicial,Pretest,74.96926859250155
556,Masculino,Inicial,Pretest,74.92317148125383
557,Femenino,Inicial,Pretest,74.83097725875845
558,Femenino,Inicial,Pretest,74.78488014751076
559,Masculino,Avanzado,Pretest,74.73110018438844
560,Masculino,Inicial,Pretest,74.71573448063921
561,Femenino,Inicial,Pretest,74.7080516287646
562,Masculino,Inicial,Pretest,74.63890596189306
563,Femenino,Avanzado,Pretest,74.63890596189306
